source_id,ra,dec,parallax,parallax_error,parallax_over_error
63960073151964416,57.31921720022152,22.19277611153506,0.4485324406598108,0.65506595,0.6847134
63960416750701824,57.426260999573955,22.22227707759359,0.17780411190505746,0.17803006,0.99873084
63960451110440832,57.40840338672123,22.225152428863222,0.08656493779542995,0.119984545,0.7214674
63961310103788928,57.21476067379832,22.1732034601023,0.9715738766179773,0.022408308,43.357754
63961584981815808,57.29104032032298,22.19692365292425,1.83797619443946,0.6260762,2.9357066
63961722419051264,57.23288727874866,22.199722986361415,0.6105864497015283,0.75804543,0.8054747
63962130441689216,57.193183549378105,22.18970403150954,0.4297696247526076,0.294895,1.4573649
63962302240386560,57.169155000995104,22.19791920302657,0.19131295311555233,0.14464818,1.3226087
63962340894352384,57.17648070469434,22.205547328711546,0.9981260542792068,0.6224754,1.6034787
63962959370552320,57.21869541319605,22.256190723249482,0.4747149342247737,1.5524225,0.30578977
